OrganizationIdentifier,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,HUCEightDigitCode,LatitudeMeasure,LongitudeMeasure,StateCode,CountyCode,ProviderName
21IOWA_WQX,21IOWA_WQX-14000531,Eldsher 1,Lake,7080207,42.940188,-93.560879,19,81,STORET
21IOWA_WQX,21IOWA_WQX-14000532,Eldsher 2,Lake,7080207,42.939179,-93.562805,19,81,STORET
21IOWA_WQX,21IOWA_WQX-14000533,Eldsher 3,Lake,7080207,42.942721,-93.564584,19,81,STORET
21IOWA_WQX,21IOWA_WQX-14000556,Humeston Reservoir,Lake,10280201,40.882677,-93.507183,19,185,STORET
21IOWA_WQX,21IOWA_WQX-14000557,Lake Fisher,Lake,7110001,40.760455,-92.442552,19,51,STORET
21IOWA_WQX,21IOWA_WQX-14000558,Corydon Reservoir,Lake,10280201,40.750549,-93.33221,19,185,STORET
21IOWA_WQX,21IOWA_WQX-14000559,Stolley Pit,Lake,10230003,43.153994,-95.189698,19,41,STORET
21IOWA_WQX,21IOWA_WQX-14000560,Terry Trueblood,Lake,7080209,41.623172,-91.529966,19,103,STORET
21IOWA_WQX,21IOWA_WQX-14000561,Thomas Mitchell Lake,Lake,7100008,41.642224,-93.382981,19,153,STORET
21IOWA_WQX,21IOWA_WQX-14000562,Terra Park,Lake,7100004,41.661087,-93.706817,19,153,STORET
21IOWA_WQX,21IOWA_WQX-14000563,Sand Lake,Lake,7080208,42.050952,-92.86569,19,127,STORET
21IOWA_WQX,21IOWA_WQX-14000564,Fisher Lake,Lake,7080205,42.535699,-92.412034,19,13,STORET
21IOWA_WQX,21IOWA_WQX-14000565,Alice Wyth Lake,Lake,7080205,42.52976,-92.422026,19,13,STORET
21IOWA_WQX,21IOWA_WQX-14000575,Backbone 1,River/Stream,7060006,42.600132,-91.535003,19,55,STORET
21IOWA_WQX,21IOWA_WQX-14000576,Backbone 2,River/Stream,7060006,42.60135,-91.5371,19,55,STORET
21IOWA_WQX,21IOWA_WQX-14000577,Backbone 3,River/Stream,7060006,42.6043,-91.5384,19,55,STORET
